#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SRR4342133_k105_108795_2 -            256 Ribosomal_S3_C       PF00189.15    85   1.6e-33  109.2   0.0   1   1   9.7e-36   2.8e-33  108.4   0.0     1    85   118   201   118   201 0.97 # 147 # 914 # 1 # ID=35_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.701
SRR4342133_k105_108795_1 -             49 Ribosomal_L22        PF00237.14   105   1.5e-14   48.2   0.2   1   1   6.3e-17   1.8e-14   48.0   0.2    67   103     1    37     1    38 0.94 # 1 # 147 # 1 # ID=35_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.735
SRR4342133_k105_108795_6 -            123 Ribosomal_L14        PF00238.14   122   6.5e-55  178.6   0.6   1   1   2.5e-57   7.2e-55  178.4   0.6     1   122     1   122     1   122 0.99 # 1831 # 2199 # 1 # ID=35_6;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.664
SRR4342133_k105_108795_3 -            138 Ribosomal_L16        PF00252.13   133   2.7e-55  180.2   0.9   1   1     1e-57     3e-55  180.0   0.9     1   132     4   132     4   133 0.99 # 918 # 1331 # 1 # ID=35_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.659
SRR4342133_k105_108795_8 -            214 Ribosomal_L5         PF00281.14    56   4.6e-25   81.7   0.1   1   1   2.6e-27   7.5e-25   81.0   0.1     2    56    33    88    32    88 0.98 # 2510 # 3151 # 1 # ID=35_8;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.679
SRR4342133_k105_127330_3 -            327 Ribosomal_S2         PF00318.15   211   5.4e-79  258.7   0.0   1   1   2.2e-81   6.4e-79  258.4   0.0     1   211     9   225     9   225 0.99 # 1212 # 2192 # 1 # ID=52_3;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.708
SRR4342133_k105_108795_5 -             91 Ribosomal_S17        PF00366.15    69   8.4e-29   93.9   0.7   1   1   3.7e-31   1.1e-28   93.6   0.7     1    68    17    84    17    85 0.98 # 1549 # 1821 # 1 # ID=35_5;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.681
SRR4342133_k105_130124_2 -            133 Ribosomal_S9         PF00380.14   121   3.5e-44  144.4   0.2   1   1   1.4e-46     4e-44  144.2   0.2     1   121    12   132    12   132 1.00 # 555 # 953 # -1 # ID=55_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.709
SRR4342133_k105_129010_5 -            133 Ribosomal_S11        PF00411.14   110   3.8e-48  156.7   0.5   1   1   1.6e-50   4.7e-48  156.4   0.5     1   110    22   131    22   131 0.99 # 2268 # 2666 # -1 # ID=53_5;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.699
SRR4342133_k105_47418_4 -            850 RNA_pol_Rpb2_6       PF00562.23   386   7.1e-53  174.1   0.0   1   2   2.7e-05     0.008    9.3   0.0     2    30   651   679   650   698 0.89 # 1206 # 3755 # 1 # ID=9_4;partial=01;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.675
SRR4342133_k105_47418_4 -            850 RNA_pol_Rpb2_6       PF00562.23   386   7.1e-53  174.1   0.0   2   2   7.6e-52   2.2e-49  162.6   0.0     2   150   704   850   703   850 0.97 # 1206 # 3755 # 1 # ID=9_4;partial=01;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.675
